	Unknown	InNeurons	Oligodendrocytes	Endothelial	Microglia	Astrocytes	OPC	ExNeurons
14177	0.005553992	0.4612178	0.18363559	0.086119235	0.028478684	0.16218965	0.01800968	0.054795355
14169	0.006701747	0.24804252	0.36143148	0.1037836	0.033938643	0.20575897	0.017922781	0.022420293
14161	0.007701943	0.2532166	0.33761123	0.10653546	0.035776563	0.2108237	0.018312076	0.030022472
13794	0.008329744	0.3868165	0.09572644	0.24542503	0.06362191	0.13378637	0.012267959	0.05402611
13786	0.004402594	0.51986283	0.14380236	0.065709814	0.023124551	0.16224325	0.013267527	0.06758707
13849	0.009317034	0.33689317	0.15621777	0.09867912	0.03567194	0.25057802	0.024924869	0.08771809
14009	0.004741954	0.23686405	0.13116395	0.068938754	0.01694665	0.07913149	0.010099283	0.45211378
13825	0.004906573	0.50211203	0.17365073	0.07608218	0.02195091	0.14872837	0.014110533	0.058458682
13763	0.0036276805	0.45285404	0.16415712	0.11970376	0.021429613	0.15632908	0.009551506	0.07234722
13739	0.0065513416	0.30813673	0.3527384	0.09653005	0.030165529	0.16997446	0.014448893	0.021454616
13699	0.005840697	0.33969712	0.1905715	0.09071497	0.029193148	0.24358694	0.017708017	0.08268758
13691	0.008344622	0.294535	0.21984278	0.101744145	0.037531108	0.17862989	0.014301617	0.14507085
13762	0.0040254653	0.2675574	0.044377122	0.04702084	0.019863086	0.06643184	0.011951509	0.53877276
13754	0.0041379086	0.31298187	0.0512758	0.07271805	0.018484078	0.13775347	0.01061035	0.39203846
13730	0.0018847897	0.24448688	0.025107952	0.051913828	0.008900912	0.059906676	0.004761959	0.60303694
13610	0.005139926	0.3682609	0.06148329	0.07379061	0.023998385	0.20859283	0.014456614	0.24427748
13586	0.004232704	0.27474394	0.10908631	0.063566536	0.019724965	0.089989446	0.011205051	0.42745104
13649	0.006111886	0.2742673	0.1219264	0.08122483	0.025333865	0.15438436	0.016073667	0.3206777
13641	0.005711504	0.2500788	0.1485299	0.07384673	0.022093335	0.092217535	0.012648109	0.3948741
13706	0.0039875177	0.467894	0.14338307	0.06681582	0.023722308	0.1562953	0.009822047	0.12807997
13690	0.0049232817	0.43438792	0.19082038	0.104168296	0.027176278	0.13971241	0.011182697	0.08762876
13769	0.017392224	0.25445554	0.12524085	0.2391022	0.07172056	0.25903475	0.00850648	0.024547445
13729	0.0061602923	0.33514667	0.12175692	0.09501335	0.028013116	0.18612339	0.010603282	0.21718298
13721	0.0013085995	0.24419944	0.024942756	0.024366325	0.008731302	0.036923733	0.0043959743	0.6551319
13697	0.0025212949	0.31147525	0.04489134	0.058496896	0.014701969	0.04285873	0.006959602	0.51809496
13689	0.002854246	0.23734494	0.03408546	0.067741565	0.012554903	0.12809177	0.0070367516	0.51029044
13601	0.0044680773	0.25771978	0.10737219	0.062215317	0.018514704	0.09809586	0.010419261	0.4411948
14258	0.0077295	0.35824737	0.19442652	0.12365017	0.029642267	0.19211078	0.0198591	0.07433431
14257	0.008106866	0.32835433	0.2793434	0.13287628	0.04131971	0.15449582	0.016501741	0.039001886
14171	0.0069037005	0.40235817	0.23370726	0.14117767	0.041742165	0.121500336	0.014859796	0.037750855
13979	0.006425748	0.32414597	0.26740548	0.09094813	0.024387673	0.18981309	0.016362077	0.080511875
14042	0.004062637	0.40147758	0.19550414	0.08159924	0.020304648	0.1903371	0.010766084	0.09594858
14010	0.006849546	0.34801364	0.14840321	0.12242784	0.03408424	0.25060818	0.025335068	0.0642783
14002	0.0065512774	0.29750335	0.291268	0.114855565	0.0280324	0.20585708	0.019970762	0.03596159
13994	0.007670039	0.3259826	0.29494834	0.12652862	0.03615829	0.14958324	0.01679932	0.042329565
13978	0.006235065	0.27704787	0.4328935	0.08990872	0.028528154	0.13296203	0.013145936	0.01927868
13970	0.0044808495	0.39619437	0.17448318	0.1002791	0.025408333	0.19996625	0.016381165	0.08280676
14057	0.0040065623	0.3904039	0.1913309	0.088197686	0.017255811	0.21425907	0.010382239	0.08416384
14049	0.005004724	0.33420944	0.28538465	0.10314866	0.019424638	0.16807486	0.0118962675	0.07285674
14041	0.004774581	0.39616585	0.109140724	0.09892865	0.021333886	0.2511802	0.015496981	0.10297915
14033	0.0066223624	0.3148489	0.19538014	0.111969195	0.033997774	0.2567295	0.021397365	0.059054717
14025	0.008050302	0.29663074	0.17102747	0.101505004	0.027323747	0.20683105	0.013455763	0.17517596
